Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un portefeuille plus rentable, plus visible et moins dépendant des arbitrages de dernière minute",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Sécuriser les acquisitions, les travaux et les sorties avec un pilotage simple",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier les critères d'achat et les seuils de validation",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Mettre à jour le suivi cash-flow par opération",Responsable portefeuille,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Cadencer les points d'avancement travaux et arbitrages",Chef de projet,2026-09-30,A lancer,
Indicateur,Opérations en cours,0,Responsable portefeuille,Hebdomadaire,A suivre,
Indicateur,Cash immobilisé,0,Dirigeant,Hebdomadaire,A suivre,
Indicateur,Rendement cible atteint,0,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Entrer dans une opération hors critères de rentabilité",Dirigeant,Immediat,Ouvert,
Point de vigilance,Risque 2,"Perdre du temps sur des arbitrages non documentés",Responsable portefeuille,Immediat,Ouvert,
