Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un CFA plus structuré, plus lisible et mieux suivi côté apprentis, employeurs et OPCO",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Sécuriser pédagogie, alternance, conformité et financements",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Cadencer les points entreprises, apprentis et intervenants",Responsable pédagogique,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Fiabiliser les dossiers OPCO et preuves Qualiopi",Responsable admin,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visible les résultats et alertes sur les mineurs",Référent conformité,2026-09-30,A lancer,
Indicateur,Contrats actifs,0,Dirigeant,Mensuel,A suivre,
Indicateur,Dossiers OPCO complets,0,Responsable admin,Hebdomadaire,A suivre,
Indicateur,Taux de présence,0 %,Responsable pédagogique,Mensuel,A suivre,
Point de vigilance,Risque 1,"Rupture d'alternance non détectée assez tôt",Responsable pédagogique,Immediat,Ouvert,
Point de vigilance,Risque 2,"Preuves conformité incomplètes en audit",Référent conformité,Immediat,Ouvert,
