Bloc,Sujet,Valeur,Responsable,Echeance,Statut,Notes
Vision,Nom du cabinet,"Cabinet Horizon Compta - expertise comptable TPE et PME",Expert-comptable,2026-12-31,Exemple,"Cabinet de 7 personnes avec pole comptable, paie et administratif"
Vision,Cap sur 12 mois,"Passer d'un cabinet qui subit les echeances a un cabinet avec production mieux anticipee, dossiers mieux suivis et charge plus previsible",Expert-comptable,2026-12-31,Valide,"A revoir chaque trimestre"
Vision,Objectif principal,"Atteindre 95 000 EUR de chiffre d'affaires mensuel recurrent avec moins d'heures subies sur les urgences client",Expert-comptable,2026-12-31,Valide,"Base de pilotage annuel"
Vision,Positionnement,"Etre reconnu pour un suivi rigoureux, des echanges clairs et une tenue fiable des echeances fiscales et sociales",Expert-comptable,2026-12-31,Valide,"A reprendre dans les lettres de mission"
Priorite trimestrielle,Priorite 1,"Mettre en place une revue hebdomadaire des dossiers en retard, pieces manquantes et echeances a 30 jours",Expert-comptable,2026-09-30,En cours,"Point de 45 minutes chaque lundi"
Priorite trimestrielle,Priorite 2,"Clarifier qui peut relancer un client, demander une piece, decaler une priorite ou faire remonter un arbitrage",Expert-comptable,2026-09-20,A lancer,"Doit deboucher sur une grille d'autorite"
Priorite trimestrielle,Priorite 3,"Standardiser l'ouverture et la reprise de dossier avec checklist complete et calendrier de collecte",Responsable de portefeuille,2026-09-30,A lancer,"A appliquer sur tous les nouveaux clients"
Priorite trimestrielle,Priorite 4,"Suivre chaque semaine les encours, factures emises, lettres de mission non signees et relances impayees",Responsable administrative,2026-10-10,A lancer,"Rituel du vendredi"
Indicateur,Dossiers a jour sur le mois,82 %,Responsable de portefeuille,Mensuel,A suivre,"Cible : 95 %"
Indicateur,Dossiers en attente de pieces,21,Equipe comptable,Hebdomadaire,Sous surveillance,"Retard = piece manquante depuis plus de 5 jours"
Indicateur,Chiffre d'affaires mensuel,88 000 EUR,Expert-comptable,Mensuel,A suivre,"Objectif cible : 95 000 EUR"
Indicateur,Encours clients > 30 jours,18 700 EUR,Responsable administrative,Hebdomadaire,Sous surveillance,"Relance tous les jeudis"
Indicateur,Temps subi sur urgences,26 h,Equipe comptable,Mensuel,A suivre,"Cible : descendre sous 12 h"
Indicateur,Taux de satisfaction client,4.7/5,Expert-comptable,Trimestriel,A suivre,"Base avis et retours clients"
Point de vigilance,Risque 1,"Les urgences de derniere minute desorganisent encore trop la production mensuelle",Expert-comptable,Immediat,Ouvert,"Formaliser une regle d'escalade"
Point de vigilance,Risque 2,"Les pieces clients arrivent trop tard et les relances ne sont pas assez structurees",Responsable de portefeuille,Immediat,Ouvert,"Mettre une cadence de relance standard"
Point de vigilance,Risque 3,"La facturation complementaire n'est pas toujours sortie au bon moment",Responsable administrative,Immediat,Ouvert,"Controle hebdo des travaux hors forfait"
Point de vigilance,Risque 4,"Le cabinet depend encore trop de l'expert-comptable pour arbitrer des decisions courantes",Expert-comptable,Immediat,Ouvert,"Sujet cle du trimestre"
