Bloc,Sujet,Valeur,Responsable,Echeance,Statut,Notes
Vision,Nom du cabinet,"Northbridge Conseil - strategie, organisation et pilotage PME",Dirigeant,2026-12-31,Exemple,"Structure de 4 consultants avec support administratif mutualise"
Vision,Cap sur 12 mois,"Passer d'une activite tres dependante du dirigeant a un cabinet avec missions mieux cadrees, production plus lisible et suivi client plus regulier",Dirigeant,2026-12-31,Valide,"A relire chaque trimestre"
Vision,Objectif principal,"Atteindre 70 000 EUR de chiffre d'affaires mensuel avec une marge stable et moins de dispersion sur les petites demandes non cadrees",Dirigeant,2026-12-31,Valide,"Base du pilotage annuel"
Vision,Positionnement,"Etre reconnu pour des missions claires, des livrables solides et une execution fiable jusqu'aux plans d'action",Dirigeant,2026-12-31,Valide,"A reprendre dans les propositions commerciales"
Priorite trimestrielle,Priorite 1,"Mettre en place une revue hebdomadaire des missions, livrables attendus, retards et prochaines decisions client",Dirigeant,2026-09-30,En cours,"Point de 30 minutes chaque lundi"
Priorite trimestrielle,Priorite 2,"Clarifier qui peut cadrer une demande, valider un livrable, accorder un ajustement de perimetre ou remonter un arbitrage",Dirigeant,2026-09-20,A lancer,"Debouche sur une grille d'autorite"
Priorite trimestrielle,Priorite 3,"Standardiser le lancement de mission avec note de cadrage, planning, roles et livrables attendus",Consultant senior,2026-09-30,A lancer,"A utiliser sur chaque nouvelle mission"
Priorite trimestrielle,Priorite 4,"Suivre les devis signes, les missions a facturer et les relances clients chaque semaine",Office manager,2026-10-10,A lancer,"Point du vendredi"
Indicateur,Missions actives,11,Dirigeant,Hebdomadaire,A suivre,"Objectif confort : 8 a 12"
Indicateur,Livrables en retard,3,Consultant senior,Hebdomadaire,Sous surveillance,"Retard = livrable non remis a date convenue"
Indicateur,Chiffre d'affaires mensuel,64 000 EUR,Dirigeant,Mensuel,A suivre,"Objectif cible : 70 000 EUR"
Indicateur,Encours clients > 30 jours,12 800 EUR,Office manager,Hebdomadaire,Sous surveillance,"Relance tous les mardis"
Indicateur,Taux de transformation devis,33 %,Dirigeant,Mensuel,A suivre,"Cible : 40 %"
Indicateur,Taux de satisfaction client,4.8/5,Dirigeant,Trimestriel,A suivre,"Mesure apres mission"
Point de vigilance,Risque 1,"Le dirigeant reste trop sollicite pour valider des sujets qui devraient etre cadres plus tot",Dirigeant,Immediat,Ouvert,"Sujet prioritaire du trimestre"
Point de vigilance,Risque 2,"Les ajustements de perimetre mission ne sont pas toujours traces, ce qui abime la marge",Consultant senior,Immediat,Ouvert,"Formaliser une fiche arbitrage/perimetre"
Point de vigilance,Risque 3,"Les relances de facturation sont trop tardives quand une mission se termine",Office manager,Immediat,Ouvert,"Mettre un rituel de cloture mission"
Point de vigilance,Risque 4,"Les informations projet sont encore trop dispersees entre mails, notes et calls",Dirigeant,Immediat,Ouvert,"Centraliser dans une trame unique"
