Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir des parcours plus clairs, mieux vendus et mieux suivis",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Structurer lancement, support et mises à jour sans chaos",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Cadencer les lancements et campagnes",Responsable marketing,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Mettre à jour les modules à faible completion",Responsable contenu,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visible remboursements et litiges",Responsable admin,2026-09-30,A lancer,
Indicateur,Nouveaux inscrits,0,Responsable marketing,Mensuel,A suivre,
Indicateur,Taux de completion,0 %,Responsable contenu,Mensuel,A suivre,
Indicateur,Taux de remboursement,0 %,Responsable admin,Mensuel,A suivre,
Point de vigilance,Risque 1,"Promesse commerciale floue par rapport au contenu réel",Dirigeant,Immediat,Ouvert,
Point de vigilance,Risque 2,"Support apprenant trop dispersé entre mails et messages",Responsable support,Immediat,Ouvert,
