Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un portefeuille copropriété plus lisible, plus stable et mieux suivi",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux piloter AG, appels de fonds, incidents et impayes sans saturation",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Structurer renouvellement et developpement des mandats",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Rendre visible les décisions AG, travaux et tickets",Responsable copro,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Mieux suivre flux copropriété et relances impayés",Responsable admin,2026-09-30,A lancer,
Indicateur,Coproprietes gerees,0,Dirigeant,Mensuel,A suivre,
Indicateur,Incidents ouverts,0,Responsable copro,Hebdomadaire,A suivre,
Indicateur,Impayes coproprietaires,0,Responsable admin,Hebdomadaire,A suivre,
Point de vigilance,Risque 1,"Decisions AG mal tracees ou peu visibles",Responsable copro,Immediat,Ouvert,
Point de vigilance,Risque 2,"Incidents et travaux trop disperses",Dirigeant,Immediat,Ouvert,
