Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un organisme plus rempli, mieux cadré et moins dépendant du dernier moment",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Sécuriser les sessions, les dossiers financeurs et la qualité pédagogique",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Mettre à jour les programmes et les prérequis des offres actives",Responsable pédagogique,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Rendre visible le remplissage et la marge par session",Responsable admin,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Fiabiliser les dossiers conventions et financements",Responsable financement,2026-09-30,A lancer,
Indicateur,Taux de remplissage moyen,0,Dirigeant,Mensuel,A suivre,
Indicateur,Heures vendues,0,Responsable pédagogique,Mensuel,A suivre,
Indicateur,Dossiers financeurs incomplets,0,Responsable financement,Hebdomadaire,A suivre,
Point de vigilance,Risque 1,"Sessions ouvertes sans validation complète des supports",Responsable pédagogique,Immediat,Ouvert,
Point de vigilance,Risque 2,"Retards de facturation ou de financement sur les dossiers",Responsable admin,Immediat,Ouvert,
