Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un portefeuille de mandats plus qualifie et un cycle de vente plus lisible",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux suivre mandats, acquereurs et signatures sans dependre du dirigeant",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Structurer la prospection mandats et les prescripteurs",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Mieux organiser visites, retours et negociations",Responsable transaction,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visibles commissions et dates de signature",Dirigeant,2026-09-30,A lancer,
Indicateur,Mandats actifs,0,Dirigeant,Mensuel,A suivre,
Indicateur,Visites qualifiees,0,Responsable transaction,Hebdomadaire,A suivre,
Indicateur,Compromis signes,0,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Trop de suivi oral sur les visites et relances",Responsable transaction,Immediat,Ouvert,
Point de vigilance,Risque 2,"Pieces mandat/bien incompletes au demarrage",Dirigeant,Immediat,Ouvert,
