Bloc,Sujet,Valeur,Responsable,Echeance,Statut,Notes
Vision,Nom du cabinet,"Cabinet Morel & Associes - droit des affaires et contentieux commercial",Associe gerant,2026-12-31,Exemple,"Cabinet de 5 personnes avec 2 avocats, 1 juriste et 2 assistantes"
Vision,Cap sur 12 mois,"Passer d'un cabinet gere a flux tendu a un cabinet avec dossiers mieux priorises, suivi client plus propre et charge plus lisse",Associe gerant,2026-12-31,Valide,"A relire chaque trimestre"
Vision,Objectif principal,"Atteindre 85 000 EUR d'honoraires mensuels avec une marge preservee et moins de dependance a l'associe sur les relances et validations courantes",Associe gerant,2026-12-31,Valide,"Base du pilotage annuel"
Vision,Positionnement,"Etre reconnu pour des dossiers suivis avec rigueur, des delais tenus et une communication client claire",Associe gerant,2026-12-31,Valide,"A reprendre dans les supports commerciaux"
Priorite trimestrielle,Priorite 1,"Mettre en place une revue hebdomadaire des dossiers actifs avec priorites, echeances, pieces manquantes et prochaines actions",Associe gerant,2026-09-30,En cours,"30 minutes chaque lundi avec l'equipe"
Priorite trimestrielle,Priorite 2,"Clarifier qui peut relancer un client, valider un envoi, accepter un delai ou escalader un sujet sensible",Associe gerant,2026-09-20,A lancer,"Doit deboucher sur une grille d'autorite"
Priorite trimestrielle,Priorite 3,"Standardiser l'ouverture de dossier avec checklist pieces, convention d'honoraires et calendrier de suivi",Assistante juridique,2026-09-30,A lancer,"A appliquer sur tous les nouveaux dossiers"
Priorite trimestrielle,Priorite 4,"Suivre les encours, honoraires a facturer et relances clients chaque semaine",Responsable administrative,2026-10-10,A lancer,"Point fixe tous les vendredis"
Indicateur,Dossiers ouverts par mois,14,Associe gerant,Mensuel,A suivre,"Objectif confort : 12 a 15"
Indicateur,Dossiers en retard d'action,6,Juriste referent,Hebdomadaire,Sous surveillance,"Retard = aucune action deposee depuis 7 jours sur un dossier actif"
Indicateur,H honoraires factures,78 000 EUR,Responsable administrative,Mensuel,A suivre,"Objectif cible : 85 000 EUR"
Indicateur,Encours clients > 30 jours,24 500 EUR,Responsable administrative,Hebdomadaire,Sous surveillance,"Relance tous les mardis"
Indicateur,Taux de pieces manquantes a l'ouverture,35 %,Assistante juridique,Mensuel,A suivre,"Cible a ramener sous 15 %"
Indicateur,Taux de satisfaction client,4.6/5,Associe gerant,Trimestriel,A suivre,"Mesure via avis et retours post-dossier"
Point de vigilance,Risque 1,"Trop de validations reviennent encore a l'associe, ce qui ralentit les envois et les relances",Associe gerant,Immediat,Ouvert,"Sujet prioritaire du trimestre"
Point de vigilance,Risque 2,"Les pieces manquantes ne sont pas relancees assez tot, ce qui decale les dossiers et fatigue l'equipe",Assistante juridique,Immediat,Ouvert,"Prevoir une relance automatique J+2 J+5"
Point de vigilance,Risque 3,"Les encours clients augmentent car la facturation intermediaire n'est pas systematique",Responsable administrative,Immediat,Ouvert,"Instaurer un controle hebdo des dossiers facturables"
Point de vigilance,Risque 4,"La priorisation des urgences repose encore trop sur la memoire du cabinet",Associe gerant,Immediat,Ouvert,"Formaliser une revue unique de priorites"
