Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir une agence plus rentable, plus lisible et moins dependante du dirigeant",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Stabiliser les methodes de production et mieux lisser la charge",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier l'offre et les types de prestations vendues",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Mettre un rythme de pilotage commercial et delivery",Chef de projet,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Formaliser les validations client avant livraison",Dirigeant,2026-09-30,A lancer,
Indicateur,CA signe,0,Dirigeant,Mensuel,A suivre,
Indicateur,Marge moyenne projet,0,Dirigeant,Mensuel,A suivre,
Indicateur,Projets en retard,0,Chef de projet,Hebdomadaire,A suivre,
Point de vigilance,Risque 1,"Trop d'allers-retours client non cadres",Dirigeant,Immediat,Ouvert,
Point de vigilance,Risque 2,"Charge mal repartie entre production et vente",Chef de projet,Immediat,Ouvert,
