Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir une auto-école plus remplie, mieux planifiée et avec moins d'aléas d'examen",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Sécuriser dossiers élèves, planning conduite et suivi des paiements",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Mieux suivre les heures consommées vs forfait vendu",Responsable admin,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Réduire les annulations de créneaux et les trous planning",Responsable planning,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Fiabiliser les dossiers CPF et convocations examen",Responsable admin,2026-09-30,A lancer,
Indicateur,Nouveaux inscrits,0,Responsable commercial,Mensuel,A suivre,
Indicateur,Heures réalisées,0,Responsable planning,Hebdomadaire,A suivre,
Indicateur,Taux de réussite examen,0 %,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Élèves non relancés à temps entre deux étapes",Responsable planning,Immediat,Ouvert,
Point de vigilance,Risque 2,"Dossiers administratifs incomplets avant examen",Responsable admin,Immediat,Ouvert,
