Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir une boutique plus rentable, plus fluide et moins dépendante des urgences SAV",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux piloter acquisition, conversion, commandes et remboursements",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier les offres et améliorer les fiches produit clés",Responsable e-commerce,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Réduire les retards d'expédition et les litiges paiement",Responsable opérations,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visible panier moyen et marge par famille produit",Responsable admin,2026-09-30,A lancer,
Indicateur,Trafic qualifié,0,Responsable acquisition,Mensuel,A suivre,
Indicateur,Taux de conversion,0 %,Responsable e-commerce,Mensuel,A suivre,
Indicateur,Taux de retour,0 %,Responsable SAV,Mensuel,A suivre,
Point de vigilance,Risque 1,"Promesse commerciale non alignée avec le stock ou les délais",Responsable e-commerce,Immediat,Ouvert,
Point de vigilance,Risque 2,"Remboursements et litiges mal tracés",Responsable admin,Immediat,Ouvert,
