Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un portefeuille plus rentable, plus recurrent et mieux suivi",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux piloter les dossiers, les encours et les points de conformite",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier l'offre et les circuits de validation",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Rendre visible les echeances clients, contrats et commissions",Responsable portefeuille,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Cadencer les relances et les revues portefeuille",Dirigeant,2026-09-30,A lancer,
Indicateur,Nouveaux dossiers signes,0,Dirigeant,Mensuel,A suivre,
Indicateur,Encours > 30 jours,0,Responsable admin,Hebdomadaire,A suivre,
Indicateur,Marge portefeuille,0,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Trop de suivis manuels et non traces",Responsable portefeuille,Immediat,Ouvert,
Point de vigilance,Risque 2,"Dependance aux arbitrages du dirigeant",Dirigeant,Immediat,Ouvert,
