Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir une activite plus rentable, plus lisible et moins dependante du dirigeant",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Fluidifier le traitement des demandes et mieux piloter la charge",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier les niveaux de service et les engagements client",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Mettre un vrai rythme de suivi des dossiers et tickets",Responsable operations,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Mieux répartir la charge entre support et production",Dirigeant,2026-09-30,A lancer,
Indicateur,Comptes actifs,0,Dirigeant,Mensuel,A suivre,
Indicateur,Demandes hors delai,0,Responsable operations,Hebdomadaire,A suivre,
Indicateur,Marge moyenne par compte,0,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Trop d'urgences non filtrees",Responsable operations,Immediat,Ouvert,
Point de vigilance,Risque 2,"Dependance a une ou deux personnes sur les dossiers sensibles",Dirigeant,Immediat,Ouvert,
