Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un portefeuille de gestion plus stable, plus rentable et mieux suivi",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux suivre loyers, incidents, relocation et obligations sans saturation",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Structurer l'entree des nouveaux mandats de gestion",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Rendre visible loyers, impayes et tickets locataires",Responsable gestion,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Mieux cadrer sorties, travaux et remise en location",Dirigeant,2026-09-30,A lancer,
Indicateur,Lots geres,0,Dirigeant,Mensuel,A suivre,
Indicateur,Impayes en cours,0,Responsable admin,Hebdomadaire,A suivre,
Indicateur,Taux de vacance,0,Responsable gestion,Mensuel,A suivre,
Point de vigilance,Risque 1,"Pieces bail et dossier location incompletes",Responsable gestion,Immediat,Ouvert,
Point de vigilance,Risque 2,"Trop de suivi manuel sur incidents et relances",Dirigeant,Immediat,Ouvert,
