Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir des missions plus rentables, mieux préparées et mieux tracées",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux cadrer les missions, tenir les delais et standardiser les livrables",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier les types de mission et les contraintes d'entree",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Structurer la preparation terrain et les controles qualite",Responsable mission,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visible marge, delais et facturation par mission",Dirigeant,2026-09-30,A lancer,
Indicateur,Missions en cours,0,Dirigeant,Mensuel,A suivre,
Indicateur,Livrables en retard,0,Responsable mission,Hebdomadaire,A suivre,
Indicateur,Marge moyenne mission,0,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Trop de préparation non standardisée",Responsable mission,Immediat,Ouvert,
Point de vigilance,Risque 2,"Savoir terrain ou méthodo trop peu documenté",Dirigeant,Immediat,Ouvert,
