Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir une activité plus rentable, plus fluide et moins dépendante du dirigeant",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux piloter annonces, turnovers, incidents et versements",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Structurer l'acquisition de propriétaires et de biens",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Fiabiliser check-in, ménage et gestion des incidents",Responsable exploitation,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visibles commissions, frais et reversements",Dirigeant,2026-09-30,A lancer,
Indicateur,Logements actifs,0,Dirigeant,Mensuel,A suivre,
Indicateur,Taux d'occupation,0,Responsable exploitation,Hebdomadaire,A suivre,
Indicateur,Incidents voyageurs ouverts,0,Responsable exploitation,Hebdomadaire,A suivre,
Point de vigilance,Risque 1,"Informations logement et acces insuffisamment centralisees",Responsable exploitation,Immediat,Ouvert,
Point de vigilance,Risque 2,"Ménages et interventions trop dependants des urgences",Dirigeant,Immediat,Ouvert,
