Bloc,Sujet,Valeur,Responsable,Echeance,Statut,Notes
Vision,Nom de l'entreprise,"Martin Bat Renovation - renovation interieure, plomberie et petits chantiers second oeuvre",Dirigeant,2026-12-31,Exemple,"Exemple concret de TPE BTP de 6 personnes"
Vision,Cap sur 12 mois,"Passer d'une entreprise qui fonctionne a l'urgence a une entreprise avec planning fiable, marge suivie et moins de dependance au dirigeant",Dirigeant,2026-12-31,Valide,"A relire tous les 90 jours"
Vision,Objectif principal,"Atteindre 55 000 EUR de chiffre d'affaires moyen mensuel avec une marge brute chantier cible de 32 %",Dirigeant,2026-12-31,Valide,"Base de pilotage annuel"
Vision,Positionnement,"Etre reconnu localement pour des chantiers de renovation propres, bien suivis et termines dans les delais annonces",Dirigeant,2026-12-31,Valide,"A reprendre dans les devis et avis clients"
Priorite trimestrielle,Priorite 1,"Mettre en place un point de pilotage chantier chaque lundi matin avec planning, retards, acomptes et priorites semaine",Dirigeant,2026-09-30,En cours,"30 minutes chaque lundi avec conducteur de travaux"
Priorite trimestrielle,Priorite 2,"Clarifier qui decide quoi sur les achats, remises devis, depannages urgents et ajustements planning",Dirigeant,2026-09-15,A lancer,"Doit deboucher sur une grille d'autorite ecrite"
Priorite trimestrielle,Priorite 3,"Suivre systematiquement les marges devis vs realise sur les 10 prochains chantiers",Assistant administratif,2026-09-30,A lancer,"A remplir a chaque cloture chantier"
Priorite trimestrielle,Priorite 4,"Mettre a jour les avis Google et demander un avis a 100 % des clients en fin de chantier",Charge d'affaires,2026-10-15,A lancer,"Trame SMS + email a preparer"
Indicateur,Chantiers signes par mois,6,Charge d'affaires,Mensuel,A suivre,"Objectif mini : 5 / objectif confort : 7"
Indicateur,Taux de transformation devis,38 %,Charge d'affaires,Mensuel,A suivre,"A calculer : devis signes / devis envoyes"
Indicateur,Marge brute moyenne chantier,29 %,Dirigeant,Mensuel,A suivre,"Cible a atteindre : 32 %"
Indicateur,Tresorerie disponible,18 500 EUR,Dirigeant,Hebdomadaire,Sous surveillance,"Ne pas descendre sous 12 000 EUR"
Indicateur,Retards critiques chantiers,2,Conducteur de travaux,Hebdomadaire,A suivre,"Retard critique = > 2 jours de decalage"
Indicateur,Factures echues non reglees,7 800 EUR,Assistant administratif,Hebdomadaire,Sous surveillance,"Relance tous les mercredis"
Point de vigilance,Risque 1,"Trop de validations achats et decisions planning remontent encore au dirigeant, ce qui bloque les equipes",Dirigeant,Immediat,Ouvert,"Sujet prioritaire du trimestre"
Point de vigilance,Risque 2,"Les urgences chantier desorganisent la semaine car le planning n'est pas revalide chaque lundi",Conducteur de travaux,Immediat,Ouvert,"Mettre un rituel hebdo fixe"
Point de vigilance,Risque 3,"La marge reelle n'est pas visible assez tot quand un chantier derape en temps ou en fournitures",Dirigeant,Immediat,Ouvert,"Creer alerte apres 80 % du budget temps consomme"
Point de vigilance,Risque 4,"Les acomptes et situations ne sont pas relances assez vite, ce qui fragilise la tresorerie",Assistant administratif,Immediat,Ouvert,"Suivi hebdomadaire a instaurer"
