Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir un portefeuille plus lisible, plus rentable et mieux arbitré",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux documenter les décisions d'investissement et cadencer le suivi investisseurs",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Clarifier les critères d'entrée et de sortie des opportunités",Dirigeant,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Rendre visible les encours, frais et commissions par ligne",Responsable portefeuille,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Sécuriser le dossier conformité et les validations clés",Responsable conformité,2026-09-30,A lancer,
Indicateur,Opportunités en revue,0,Responsable portefeuille,Hebdomadaire,A suivre,
Indicateur,Encours total,0,Dirigeant,Hebdomadaire,A suivre,
Indicateur,Performance nette,0,Dirigeant,Mensuel,A suivre,
Point de vigilance,Risque 1,"Décisions prises sans trace ni validation formelle",Dirigeant,Immediat,Ouvert,
Point de vigilance,Risque 2,"Manque de visibilité sur les échéances investisseurs",Responsable portefeuille,Immediat,Ouvert,
