Bloc,Sujet,Valeur,Responsable,Échéance,Statut,Notes
Vision,Cap 12 mois,"Avoir une plateforme plus fiable, mieux modérée et rentable des deux côtés du marché",Dirigeant,2026-12-31,A definir,
Vision,Objectif principal,"Mieux piloter vendeurs, acheteurs, incidents et reversements",Dirigeant,2026-12-31,A definir,
Priorité trimestrielle,Priorite 1,"Augmenter le nombre de vendeurs actifs de qualité",Responsable marketplace,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 2,"Réduire les litiges et délais de médiation",Responsable support,2026-09-30,A lancer,
Priorité trimestrielle,Priorite 3,"Rendre visibles commissions et reversements par vendeur",Responsable admin,2026-09-30,A lancer,
Indicateur,Vendeurs actifs,0,Responsable marketplace,Mensuel,A suivre,
Indicateur,Commandes traitées,0,Responsable opérations,Mensuel,A suivre,
Indicateur,Taux de litige,0 %,Responsable support,Mensuel,A suivre,
Point de vigilance,Risque 1,"Vendeurs publiés sans contrôle qualité suffisant",Responsable marketplace,Immediat,Ouvert,
Point de vigilance,Risque 2,"Reversements mal rapprochés des encaissements",Responsable admin,Immediat,Ouvert,
