Bloc,Sujet,Valeur,Responsable,Echeance,Statut,Notes
Vision,Nom de l'entreprise,"Maison Lenoir - boutique de cadeaux, deco et petite papeterie",Dirigeant,2026-12-31,Exemple,"Commerce de centre-ville avec 3 personnes"
Vision,Cap sur 12 mois,"Passer d'une boutique tenue au jour le jour a une boutique mieux pilotee avec stock sain, equipe plus autonome et marge plus visible",Dirigeant,2026-12-31,Valide,"A revoir chaque trimestre"
Vision,Objectif principal,"Atteindre 32 000 EUR de chiffre d'affaires mensuel moyen avec une marge brute cible de 54 %",Dirigeant,2026-12-31,Valide,"Base de pilotage annuel"
Vision,Positionnement,"Etre la boutique locale ou l'on trouve rapidement une idee cadeau bien presentee avec un accueil simple et fiable",Dirigeant,2026-12-31,Valide,"A reprendre sur les supports et en vitrine"
Priorite trimestrielle,Priorite 1,"Clarifier les 20 meilleures references a pousser en vitrine et en caisse",Responsable boutique,2026-09-15,En cours,"Selection par marge et rotation"
Priorite trimestrielle,Priorite 2,"Mettre en place un rituel de point stock tous les lundis matin",Responsable boutique,2026-09-01,A lancer,"30 minutes chaque semaine"
Priorite trimestrielle,Priorite 3,"Former toute l'equipe aux phrases de vente sur les produits prioritaires",Dirigeant,2026-09-30,A lancer,"Mini trame commune"
Priorite trimestrielle,Priorite 4,"Suivre les retours clients et produits peu vendus pour simplifier l'offre",Dirigeant,2026-10-15,A lancer,"1 revue mensuelle"
Indicateur,Chiffre d'affaires mensuel,28600 EUR,Dirigeant,Mensuel,A suivre,"Objectif cible : 32000 EUR"
Indicateur,Ticket moyen,34 EUR,Responsable boutique,Hebdomadaire,A suivre,"A faire monter par ventes additionnelles"
Indicateur,Taux de marge brute,51 %,Dirigeant,Mensuel,A suivre,"Cible : 54 %"
Indicateur,Rotation des 20 meilleures references,2.8,Responsable boutique,Mensuel,A suivre,"Rotation moyenne mensuelle"
Indicateur,Taux de rupture sur references prioritaires,9 %,Responsable boutique,Hebdomadaire,Sous surveillance,"Cible < 4 %"
Point de vigilance,Risque 1,"La boutique repose encore trop sur le dirigeant pour les commandes et les arbitrages de mise en avant",Dirigeant,Immediat,Ouvert,"A traiter via grille d'autorite"
Point de vigilance,Risque 2,"Certaines references immobilisent de la tresorerie sans rotation suffisante",Responsable boutique,Immediat,Ouvert,"A traiter dans le suivi stock"
